Cod,Favela_completa,Sigla,Favela,Municipio,Domicilios
29148020008,Vila Vital - Itabuna (BA),BA,Vila Vital,Itabuna,88
29148020011,Banco Raso - Itabuna (BA),BA,Banco Raso,Itabuna,392
29148020012,Beira Rio / Nova Itabuna - Itabuna (BA),BA,Beira Rio / Nova Itabuna,Itabuna,221
29148020013,Caixa D'água - Itabuna (BA),BA,Caixa D'água,Itabuna,599
29148020014,Cajueiro - Itabuna (BA),BA,Cajueiro,Itabuna,236
29148020015,Conjunto Ceplac - Itabuna (BA),BA,Conjunto Ceplac,Itabuna,139
29148020016,Corbiniano Freire / Pau Caído - Itabuna (BA),BA,Corbiniano Freire / Pau Caído,Itabuna,220
29148020017,Daniel Gomes - Itabuna (BA),BA,Daniel Gomes,Itabuna,547
29148020018,Dendê - Itabuna (BA),BA,Dendê,Itabuna,97
29148020019,Gegeu / Baixa Fria - Itabuna (BA),BA,Gegeu / Baixa Fria,Itabuna,276
29148020022,Manoel Leão - Itabuna (BA),BA,Manoel Leão,Itabuna,482
29148020023,Maria Matos - Itabuna (BA),BA,Maria Matos,Itabuna,319
29148020024,Maria Pinheiro - Itabuna (BA),BA,Maria Pinheiro,Itabuna,157
29148020026,Nova Califórnia - Itabuna (BA),BA,Nova Califórnia,Itabuna,295
29148020027,Nova Esperança - Itabuna (BA),BA,Nova Esperança,Itabuna,359
29148020028,Novo Fonseca - Itabuna (BA),BA,Novo Fonseca,Itabuna,316
29148020029,Novo Hotizonte - Itabuna (BA),BA,Novo Hotizonte,Itabuna,447
29148020030,Novo Lomanto - Itabuna (BA),BA,Novo Lomanto,Itabuna,261
29148020031,Novo Mangabinha - Itabuna (BA),BA,Novo Mangabinha,Itabuna,173
29148020032,Novo São Caetano - Itabuna (BA),BA,Novo São Caetano,Itabuna,222
29148020034,Parque Santa Clara - Itabuna (BA),BA,Parque Santa Clara,Itabuna,398
29148020035,Pedro Jerônimo - Itabuna (BA),BA,Pedro Jerônimo,Itabuna,818
29148020036,Rua Paraíso / Ferradas - Itabuna (BA),BA,Rua Paraíso / Ferradas,Itabuna,254
29148020037,Santa Catarina - Itabuna (BA),BA,Santa Catarina,Itabuna,355
29148020038,Santa Inês - Itabuna (BA),BA,Santa Inês,Itabuna,416
29148020039,São Lourenço - Itabuna (BA),BA,São Lourenço,Itabuna,193
29148020040,São Pedro - Itabuna (BA),BA,São Pedro,Itabuna,999
29148020041,Sarinha / Gogó da Ema - Itabuna (BA),BA,Sarinha / Gogó da Ema,Itabuna,811
29148020042,Sinval Palmeira - Itabuna (BA),BA,Sinval Palmeira,Itabuna,801
29148020043,Status / Novo Jaçanã - Itabuna (BA),BA,Status / Novo Jaçanã,Itabuna,194
29148020044,Vale do Sol - Itabuna (BA),BA,Vale do Sol,Itabuna,194
29148020045,Vila Anália - Itabuna (BA),BA,Vila Anália,Itabuna,242
29148020047,Vila Tetê / São Roque - Itabuna (BA),BA,Vila Tetê / São Roque,Itabuna,130
29148020048,Zizo - Itabuna (BA),BA,Zizo,Itabuna,176
